Optimizer,Learning Rate,Batch Size,Train MSE,Val MSE,Val MAE
Adam,0.001,16,0.0004347065696492791,0.00043060313328169286,0.014745272696018219
Adam,0.001,32,0.00038839830085635185,0.00037187038105912507,0.013804024085402489
Adam,0.001,64,0.0003585232188925147,0.0003643782692961395,0.013592123053967953
Adam,0.0001,16,0.0003788244794122875,0.00036404476850293577,0.013540439307689667
Adam,0.0001,32,0.00040976301534101367,0.00045372164458967745,0.015510382130742073
Adam,0.0001,64,0.0004570351738948375,0.00045546417823061347,0.015194621868431568
Adam,1e-05,16,0.0007452708669006824,0.0007552459137514234,0.019830306991934776
Adam,1e-05,32,0.0010177126387134194,0.0010436560260131955,0.02337522618472576
Adam,1e-05,64,0.0013434940483421087,0.0013813534751534462,0.027306344360113144
RMSprop,0.001,16,0.00043767434544861317,0.0004660654522012919,0.015921147540211678
RMSprop,0.001,32,0.0004837125015910715,0.0006548491073772311,0.018381986767053604
RMSprop,0.001,64,0.0005856998031958938,0.000832949997857213,0.02273428440093994
RMSprop,0.0001,16,0.00044218183029443026,0.000554084253963083,0.018072081729769707
RMSprop,0.0001,32,0.0005327361286617815,0.0006404874729923904,0.019305620342493057
RMSprop,0.0001,64,0.0005945925367996097,0.0007017793250270188,0.020023910328745842
RMSprop,1e-05,16,0.0010365713387727737,0.0010451338021084666,0.0232143085449934
RMSprop,1e-05,32,0.0015349946916103363,0.0015154329594224691,0.028174027800559998
RMSprop,1e-05,64,0.0030822826083749533,0.002803998300805688,0.038653694093227386
Adagrad,0.001,16,0.004629349336028099,0.004331096075475216,0.048708051443099976
Adagrad,0.001,32,0.006436586380004883,0.006017182022333145,0.05630771070718765
Adagrad,0.001,64,0.018749214708805084,0.018486155197024345,0.10246626287698746
Adagrad,0.0001,16,0.029217327013611794,0.029232153668999672,0.130851611495018
Adagrad,0.0001,32,0.029796309769153595,0.029843425378203392,0.13207682967185974
Adagrad,0.0001,64,0.031578052788972855,0.03164585307240486,0.13513493537902832
Adagrad,1e-05,16,0.04043397679924965,0.040782202035188675,0.15365642309188843
Adagrad,1e-05,32,0.040992822498083115,0.04131920635700226,0.1549862176179886
Adagrad,1e-05,64,0.042855214327573776,0.043232060968875885,0.15916146337985992
